name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
smederevo,2021-01-01,10.5,-0.1,4.5,10.5,-0.8,3.1,1.3,81.2,0.99,100,8.33,"rain,snow",,0,,12,146.4,1015.6,16.1,11.3,83.7,7.3,4,,2021-01-01T07:13:29,2021-01-01T16:06:35,0.53,"Snow, Rain",Clear conditions throughout the day with rain or snow clearing later.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-02,11.7,3.1,7.2,11.7,0.4,4.8,0.9,65.1,0,0,0,,,0,61.7,29.4,108.5,1017.9,10.1,16.1,85.5,7.4,4,,2021-01-02T07:13:30,2021-01-02T16:07:31,0.56,Clear,Clear conditions throughout the day.,clear-day,"13272099999,15338099999,LYBE,13272599999,13278099999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-03,11.4,6.5,8.4,11.4,3,5.6,4.7,77.4,0.66,100,12.5,rain,,0,49.1,28.5,109.5,1015.7,43.6,15.9,73,6.4,4,,2021-01-03T07:13:29,2021-01-03T16:08:28,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-04,9.8,6.9,8.2,7.9,4.8,6.2,6.2,87.4,2.17,100,20.83,rain,,0.3,54,20.5,152.1,1011.9,62.3,12.2,15.3,1.2,1,,2021-01-04T07:13:25,2021-01-04T16:09:27,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-05,8.4,3,5.9,7.9,1.2,4,4.7,92.6,7.82,100,16.67,rain,,0.7,,17.7,200,1012.2,48.3,9.9,78.6,6.8,4,,2021-01-05T07:13:19,2021-01-05T16:10:28,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"13272099999,15338099999,LYBE,13272599999,13278099999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-06,10.5,4.1,7.3,10.5,1.4,5.4,3.6,78.2,3.51,100,12.5,rain,,0,39.6,18.6,116.2,1013.9,55,12.6,39.8,3.3,2,,2021-01-06T07:13:10,2021-01-06T16:11:30,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-07,8.7,3.1,5.4,7.7,0.7,3.7,3.3,86.9,9.93,100,8.33,rain,,0.7,,12.6,159.3,1015.9,45.2,14.1,63.8,5.5,3,,2021-01-07T07:12:58,2021-01-07T16:12:35,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"13272099999,15338099999,LYBE,13272599999,13278099999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-08,4.2,0.6,3,2.9,-1.9,0.8,2.1,93.8,10.34,100,20.83,rain,,,18.5,14.6,139.5,1014.3,70.9,9.9,19,1.5,1,,2021-01-08T07:12:44,2021-01-08T16:13:40,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-09,1.4,-2.2,-0.2,0.7,-4.4,-1.9,-0.8,95.6,0.09,100,4.17,"rain,snow",,0,17.5,7.7,225.8,1020.5,59.4,5,70.6,6.2,4,,2021-01-09T07:12:27,2021-01-09T16:14:48,0.92,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-10,1.7,-0.7,0.3,0,-4,-2.1,-0.1,96.7,3.49,100,20.83,"rain,snow",,4.2,,15.4,158,1020.8,79.9,3.9,26,2.2,1,,2021-01-10T07:12:08,2021-01-10T16:15:56,0.96,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"13272099999,15338099999,LYBE,13272599999,13278099999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-11,0.7,-0.7,-0.2,0.7,-4.6,-1.7,-0.4,98.3,13.28,100,29.17,"rain,snow",,5.7,,14.2,277.5,1019.7,74.2,2.9,46.9,4.1,2,,2021-01-11T07:11:46,2021-01-11T16:17:06,0.99,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13183099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-12,0.2,-0.8,-0.4,-0.5,-3.5,-2.3,-0.7,97.7,1.59,100,25,"rain,snow",,10,,8.6,257.9,1017,78.2,3,48.1,4.2,2,,2021-01-12T07:11:22,2021-01-12T16:18:18,1,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-13,1.2,-1.1,-0.1,-0.6,-4.6,-2.8,-1,93.2,1.01,100,12.5,"rain,snow",,9.2,13,17.7,223.5,1013.8,57,5.3,55.5,4.9,3,,2021-01-13T07:10:55,2021-01-13T16:19:30,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-14,0.6,-2.4,-0.7,-3.1,-6.1,-4.7,-2.3,89.3,0.7,100,16.67,"rain,snow",,7.9,20.7,21.2,216.8,1011.8,58.3,10.9,29.4,2.6,1,,2021-01-14T07:10:26,2021-01-14T16:20:44,0.01,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"13272099999,15338099999,LYBE,13272599999,13278099999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-15,1.6,-1.7,-0.3,-0.7,-6.3,-4.2,-2.3,86.9,0.22,100,12.5,"rain,snow",,5.4,,19,261.5,1017.6,65.8,11,90.6,7.9,4,,2021-01-15T07:09:55,2021-01-15T16:21:59,0.03,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-16,-1.2,-6.5,-3.3,-4.5,-9.1,-6.5,-5.6,84.4,14.99,100,12.5,"rain,snow",,5.1,25.6,14.9,301.7,1019.9,44.8,11.5,53.9,4.7,2,,2021-01-16T07:09:21,2021-01-16T16:23:15,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-17,-2.5,-6.4,-4.6,-3.5,-10.2,-6.8,-5.6,92.4,2.2,100,16.67,snow,,6.9,,12.3,265.9,1019.4,72.3,6.7,41.6,3.6,2,,2021-01-17T07:08:44,2021-01-17T16:24:32,0.1,"Snow, Partially cloudy",Partly cloudy throughout the day with a chance of snow throughout the day.,snow,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13183099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-18,-2.6,-8.4,-5,-3.1,-11.5,-7.4,-6.7,88.3,3.2,100,16.67,snow,,9.3,,14.5,264.7,1025.1,66.1,7.3,72.2,6.2,4,,2021-01-18T07:08:06,2021-01-18T16:25:50,0.14,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-19,4.1,-3.5,-0.7,1.9,-5.9,-3.4,-3.7,80.4,3.4,100,12.5,"rain,snow",,5.3,,11.5,153.5,1025.6,47.8,11.1,80.6,7,4,,2021-01-19T07:07:25,2021-01-19T16:27:09,0.19,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow in the morning and afternoon.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-20,7.1,-1.6,3.1,5,-5.3,0.6,-1,74.5,0.48,100,8.33,rain,,5.3,39.6,13.7,184.3,1022.7,38.3,14.4,77.5,6.8,3,,2021-01-20T07:06:41,2021-01-20T16:28:28,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
smederevo,2021-01-21,12.9,2.9,6.8,12.9,0.1,4.8,1.1,67.5,0.21,100,4.17,rain,,5.3,30.1,16.9,133.8,1020,22.7,16.3,99.4,8.6,4,,2021-01-21T07:05:56,2021-01-21T16:29:48,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"13272099999,15338099999,LYBE,13272599999,13279099999,13180099999,13274099999,15388099999,LYBT,13285099999"
